concern_id,primary_focus,count
HIGH_NOTE_CANNOT_REACH,EFFORT,4
HIGH_NOTE_CANNOT_REACH,REGISTER_CONNECTION,68
HIGH_NOTE_TOO_EFFORTFUL,EFFORT,5
HIGH_NOTE_TOO_EFFORTFUL,REGISTER_CONNECTION,63
HIGH_NOTE_TOO_EFFORTFUL,MAINTAIN,4
HIGH_NOTE_FLIPS,REGISTER_CONNECTION,72
HIGH_NOTE_THINS,EFFORT,2
HIGH_NOTE_THINS,PRESENCE,33
HIGH_NOTE_THINS,MAINTAIN,29
HIGH_NOTE_THINS,REGISTER_CONNECTION,7
HIGH_NOTE_THINS,CONTACT,1
HIGH_NOTE_UNSTABLE,EFFORT,5
HIGH_NOTE_UNSTABLE,STABILITY,61
HIGH_NOTE_UNSTABLE,REGISTER_CONNECTION,6
THROAT_EFFORT,EFFORT,66
THROAT_EFFORT,REGISTER_CONNECTION,6
LOUD_VOICE_DIFFICULT,EFFORT,66
LOUD_VOICE_DIFFICULT,REGISTER_CONNECTION,6
VOCAL_FATIGUE,EFFORT,66
VOCAL_FATIGUE,REGISTER_CONNECTION,6
AFTER_SINGING_FATIGUE,EFFORT,66
AFTER_SINGING_FATIGUE,REGISTER_CONNECTION,6
TIMBRE_DISSATISFIED,EFFORT,4
TIMBRE_DISSATISFIED,TIMBRE,61
TIMBRE_DISSATISFIED,REGISTER_CONNECTION,7
VOICE_TOO_THIN,EFFORT,2
VOICE_TOO_THIN,PRESENCE,33
VOICE_TOO_THIN,MAINTAIN,29
VOICE_TOO_THIN,REGISTER_CONNECTION,7
VOICE_TOO_THIN,CONTACT,1
VOICE_TOO_DARK_MUFFLED,EFFORT,2
VOICE_TOO_DARK_MUFFLED,BRIGHTNESS,37
VOICE_TOO_DARK_MUFFLED,PRESENCE,26
VOICE_TOO_DARK_MUFFLED,REGISTER_CONNECTION,7
VOICE_TOO_NASAL_PERCEPT,EFFORT,2
VOICE_TOO_NASAL_PERCEPT,PRESENCE,33
VOICE_TOO_NASAL_PERCEPT,TIMBRE,30
VOICE_TOO_NASAL_PERCEPT,REGISTER_CONNECTION,7
VOICE_TOO_BREATHY,EFFORT,4
VOICE_TOO_BREATHY,MAINTAIN,27
VOICE_TOO_BREATHY,TIMBRE,30
VOICE_TOO_BREATHY,REGISTER_CONNECTION,7
VOICE_TOO_BREATHY,CONTACT,3
VOICE_TOO_BREATHY,BREATHINESS,1
VOICE_TOO_SHARP,EFFORT,4
VOICE_TOO_SHARP,MAINTAIN,37
VOICE_TOO_SHARP,TIMBRE,22
VOICE_TOO_SHARP,BRIGHTNESS,1
VOICE_TOO_SHARP,REGISTER_CONNECTION,7
VOICE_TOO_SHARP,PRESENCE,1
VOICE_ROUGH,STABILITY,72
TIMBRE_CHANGES_HIGH,EFFORT,4
TIMBRE_CHANGES_HIGH,REGISTER_CONNECTION,68
PITCH_UNSTABLE,EFFORT,5
PITCH_UNSTABLE,STABILITY,61
PITCH_UNSTABLE,REGISTER_CONNECTION,6
REGISTER_CONNECTION_DIFFICULT,EFFORT,4
REGISTER_CONNECTION_DIFFICULT,STABILITY,61
REGISTER_CONNECTION_DIFFICULT,REGISTER_CONNECTION,7
VIBRATO_UNSTABLE,EFFORT,5
VIBRATO_UNSTABLE,STABILITY,67
DYNAMICS_DIFFICULT,DYNAMICS,72
PHRASE_END_WEAK,DYNAMICS,72
PAIN_WHILE_SINGING,SAFETY,72
PAIN_AFTER_SINGING,SAFETY,72
SPEAKING_DISCOMFORT,SAFETY,72
PERSISTENT_HOARSENESS,SAFETY,72
OTHER_CONCERN,EFFORT,4
OTHER_CONCERN,MAINTAIN,61
OTHER_CONCERN,REGISTER_CONNECTION,7
