audio,concern_a,concern_b,focus_a,focus_b,protocol_a,protocol_b,similarity,classification,family_a,family_b
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_TOO_EFFORTFUL,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,THROAT_EFFORT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOCAL_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,PITCH_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VIBRATO_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,THROAT_EFFORT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOCAL_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PITCH_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VIBRATO_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,THROAT_EFFORT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,VOCAL_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,PITCH_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,VIBRATO_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,VOCAL_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,PITCH_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,VIBRATO_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,1.0,GENERIC_COLLAPSE,SAFETY_REST,SAFETY_REST
