audio_id,concern_ids,primary_focus,protocol_id,practice_id,audit_status,finding_codes
00ae450b11f1,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
00ae450b11f1,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
07564b6df5b9,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ada85fffc84,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ea5487c229a,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ea5487c229a,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ea5487c229a,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ea5487c229a,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
0ea5487c229a,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
0ea5487c229a,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
