audio_id,file,duration,effort_status,effort_confidence,contact,breathiness,register,stability,presence,brightness,airiness,texture,harmonic_concentration,source_balance,high_note_available,fingerprint
00ae450b11f1,C:\VocalAgent\목잡이.m4a,,MODERATE,medium,FIRM,LOW,UNRESOLVED,STABLE,MID,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,MODERATE|FIRM|LOW|UNRESOLVED|STABLE|MID|LOW
07564b6df5b9,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,,LOW,medium,FIRM,LOW,UNRESOLVED,STABLE,LOW,LOW,LOW,UNKNOWN,0.443,OBSERVED,True,LOW|FIRM|LOW|UNRESOLVED|STABLE|LOW|LOW
0ada85fffc84,C:\VocalAgent\테스트.m4a,,LOW,medium,AMBIGUOUS,LOW,CHEST_DOMINANT,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|AMBIGUOUS|LOW|CHEST_DOMINANT|STABLE|UNAVAILABLE|UNAVAILABLE
0ea5487c229a,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.627,OBSERVED,False,LOW|AMBIGUOUS|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
0f26db696e8e,C:\VocalAgent\I'llneverloveagain.m4a,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,HIGH,HIGH,LOW,UNKNOWN,0.55,OBSERVED,False,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|HIGH|HIGH
10d07cc48c55,C:\VocalAgent\편안세게.m4a,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.603,OBSERVED,True,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|LOW|LOW
1387ae324719,C:\VocalAgent\거의동117.m4a,,MODERATE,medium,AMBIGUOUS,LOW,CHEST_DOMINANT,STABLE,LOW,MID,LOW,UNKNOWN,0.616,OBSERVED,True,MODERATE|AMBIGUOUS|LOW|CHEST_DOMINANT|STABLE|LOW|MID
15f8e161f598,C:\VocalAgent\Lyrics.mp3,241.98637188208616,LOW,medium,UNKNOWN,LOW,UNRESOLVED,STABLE,MID,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,True,LOW|UNKNOWN|LOW|UNRESOLVED|STABLE|MID|LOW
16b7e83c0418,C:\VocalAgent\runtime\a26c74cad70447bb900e4a31715c74f3\upload.webm,,LOW,medium,UNKNOWN,LOW,UNKNOWN,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|LOW|UNKNOWN|STABLE|UNAVAILABLE|UNAVAILABLE
2c9d61ebb9da,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_i\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,UNRESOLVED,STABLE,MID,LOW,LOW,UNKNOWN,1.0,OBSERVED,False,LOW|FIRM|UNKNOWN|UNRESOLVED|STABLE|MID|LOW
357eeb649bd6,C:\VocalAgent\runtime\56d38088aeba4c2a87b4cd8f43b8a1fa\upload.webm,,LOW,medium,UNKNOWN,LOW,STABLE_LIKE,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|UNKNOWN|LOW|STABLE_LIKE|STABLE|LOW|LOW
36a7bd4286b4,C:\VocalAgent\runtime\6bc317cde50945bb9b282824e3354301\upload.webm,,LOW,medium,FIRM,LOW,HEAD_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.554,OBSERVED,True,LOW|FIRM|LOW|HEAD_DOMINANT|STABLE|LOW|LOW
37db691d1416,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\sustain_i\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,1.0,OBSERVED,False,LOW|FIRM|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
3ced1f723c5e,C:\VocalAgent\거의동116.m4a,,LOW,medium,FIRM,LOW,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|FIRM|LOW|CHEST_DOMINANT|STABLE|LOW|LOW
40fb338380cc,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\dynamic_swell\attempt_1\upload.webm,,LOW,medium,MID,UNKNOWN,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.646,OBSERVED,False,LOW|MID|UNKNOWN|CHEST_DOMINANT|STABLE|LOW|LOW
442202fca595,C:\VocalAgent\runtime\0e3cb9e466744bf69101def07914fcb7\upload.wav,2.5,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
54b972ad300a,C:\VocalAgent\편하게.m4a,,LOW,medium,FIRM,LOW,UNRESOLVED,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,OBSERVED,False,LOW|FIRM|LOW|UNRESOLVED|STABLE|LOW|LOW
