audio_id,file,duration,effort_status,effort_confidence,contact,breathiness,register_connection,register,source_balance,stability,presence,brightness,airiness,texture,harmonic_concentration,high_note_available,fingerprint
00ae450b11f1,C:\VocalAgent\목잡이.m4a,,MODERATE,medium,FIRM,LOW,PARTIAL,PARTIAL,BALANCED,STABLE,MID,LOW,LOW,UNKNOWN,UNKNOWN,False,MODERATE|FIRM|LOW|PARTIAL|BALANCED|STABLE|MID|LOW
07564b6df5b9,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,,LOW,medium,FIRM,LOW,DISRUPTED,DISRUPTED,BALANCED_ACOUSTIC,STABLE,LOW,LOW,LOW,UNKNOWN,0.443,True,LOW|FIRM|LOW|DISRUPTED|BALANCED_ACOUSTIC|STABLE|LOW|LOW
0ada85fffc84,C:\VocalAgent\테스트.m4a,,LOW,medium,AMBIGUOUS,LOW,UNRESOLVED,UNRESOLVED,CHEST_LEANING,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,False,LOW|AMBIGUOUS|LOW|UNRESOLVED|CHEST_LEANING|STABLE|UNAVAILABLE|UNAVAILABLE
0ea5487c229a,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,PARTIAL,PARTIAL,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.627,False,LOW|AMBIGUOUS|UNKNOWN|PARTIAL|CHEST_DOMINANT|STABLE|LOW|LOW
0f26db696e8e,C:\VocalAgent\I'llneverloveagain.m4a,,LOW,medium,FIRM,LOW,PARTIAL,PARTIAL,CHEST_LEANING,STABLE,HIGH,HIGH,LOW,UNKNOWN,0.55,False,LOW|FIRM|LOW|PARTIAL|CHEST_LEANING|STABLE|HIGH|HIGH
10d07cc48c55,C:\VocalAgent\편안세게.m4a,,LOW,medium,FIRM,LOW,PARTIAL,PARTIAL,CHEST_LEANING,STABLE,LOW,LOW,LOW,UNKNOWN,0.603,True,LOW|FIRM|LOW|PARTIAL|CHEST_LEANING|STABLE|LOW|LOW
1387ae324719,C:\VocalAgent\거의동117.m4a,,MODERATE,medium,AMBIGUOUS,LOW,PARTIAL,PARTIAL,CHEST_LEANING,STABLE,LOW,MID,LOW,UNKNOWN,0.616,True,MODERATE|AMBIGUOUS|LOW|PARTIAL|CHEST_LEANING|STABLE|LOW|MID
15f8e161f598,C:\VocalAgent\Lyrics.mp3,241.98637188208616,LOW,medium,UNKNOWN,LOW,DISRUPTED,DISRUPTED,CONFLICTED,STABLE,MID,LOW,LOW,UNKNOWN,UNKNOWN,True,LOW|UNKNOWN|LOW|DISRUPTED|CONFLICTED|STABLE|MID|LOW
16b7e83c0418,C:\VocalAgent\runtime\a26c74cad70447bb900e4a31715c74f3\upload.webm,,LOW,medium,UNKNOWN,LOW,UNRESOLVED,UNRESOLVED,UNKNOWN,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|LOW|UNRESOLVED|UNKNOWN|STABLE|UNAVAILABLE|UNAVAILABLE
1a0be83ce9c6,C:\VocalAgent\runtime\diagnostic_sessions\e532610cd0cc437189bbd33ed4052a1e\tasks\sustain_a\attempt_1\upload.webm,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE
2c9d61ebb9da,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_i\attempt_1\upload.webm,,LOW,medium,FIRM,UNKNOWN,PARTIAL,PARTIAL,UNKNOWN,STABLE,MID,LOW,LOW,UNKNOWN,1.0,False,LOW|FIRM|UNKNOWN|PARTIAL|UNKNOWN|STABLE|MID|LOW
357eeb649bd6,C:\VocalAgent\runtime\56d38088aeba4c2a87b4cd8f43b8a1fa\upload.webm,,LOW,medium,UNKNOWN,LOW,PARTIAL,PARTIAL,UNKNOWN,STABLE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|LOW|PARTIAL|UNKNOWN|STABLE|LOW|LOW
