concern_id,category,cases,unique_focus,unique_protocol,unique_prescription_family,fail_count,warn_count
HIGH_NOTE_CANNOT_REACH,high_note,73,2,2,2,0,0
HIGH_NOTE_TOO_EFFORTFUL,high_note,73,3,3,3,0,0
HIGH_NOTE_FLIPS,high_note,73,1,1,1,0,0
HIGH_NOTE_THINS,high_note,73,4,3,1,0,0
HIGH_NOTE_UNSTABLE,high_note,73,3,3,3,0,0
THROAT_EFFORT,effort,73,2,3,3,0,0
LOUD_VOICE_DIFFICULT,effort,73,2,3,3,0,0
VOCAL_FATIGUE,effort,73,2,3,3,0,0
AFTER_SINGING_FATIGUE,effort,73,2,3,3,0,0
TIMBRE_DISSATISFIED,timbre,73,3,3,1,0,0
VOICE_TOO_THIN,timbre,73,4,3,3,0,0
VOICE_TOO_DARK_MUFFLED,timbre,73,4,4,2,0,0
VOICE_TOO_NASAL_PERCEPT,timbre,73,3,3,1,0,0
VOICE_TOO_BREATHY,timbre,73,6,5,1,0,0
VOICE_TOO_SHARP,timbre,73,6,5,6,0,0
VOICE_ROUGH,timbre,73,4,5,3,0,0
TIMBRE_CHANGES_HIGH,timbre,73,1,1,2,0,0
PITCH_UNSTABLE,control,73,3,3,3,0,0
REGISTER_CONNECTION_DIFFICULT,control,73,2,2,2,0,0
VIBRATO_UNSTABLE,control,73,1,1,1,0,0
DYNAMICS_DIFFICULT,control,73,1,1,1,0,0
PHRASE_END_WEAK,control,73,1,1,1,0,0
PAIN_WHILE_SINGING,safety,73,1,1,1,0,0
PAIN_AFTER_SINGING,safety,73,1,1,1,0,0
SPEAKING_DISCOMFORT,safety,73,1,1,1,0,0
PERSISTENT_HOARSENESS,safety,73,1,1,1,0,0
OTHER_CONCERN,other,73,3,3,1,0,0
