audio,concern_a,concern_b,focus_a,focus_b,protocol_a,protocol_b,similarity,classification,same_focus,same_protocol,same_question_type,same_category,same_evidence_signature,same_action,same_success,same_family,family_a,family_b
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_FLIPS,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,0.9561,EXPECTED_SHARED_PROTOCOL,True,True,True,True,True,False,True,True,SOVT_GLIDE,SOVT_GLIDE
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,REGISTER_CONNECTION_DIFFICULT,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,0.9407,EXPECTED_SHARED_PROTOCOL,True,True,False,False,True,False,True,True,SOVT_GLIDE,SOVT_GLIDE
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,0.92,EXPECTED_SHARED_PROTOCOL,True,True,True,True,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,THROAT_EFFORT,EFFORT,EFFORT,EFFORT,EFFORT,0.8993,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,0.8933,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOCAL_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,0.9128,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,0.8874,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PITCH_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,0.92,EXPECTED_SHARED_PROTOCOL,True,True,False,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_FLIPS,REGISTER_CONNECTION_DIFFICULT,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,0.9231,EXPECTED_SHARED_PROTOCOL,True,True,False,False,True,False,True,True,SOVT_GLIDE,SOVT_GLIDE
00ae450b11f1,HIGH_NOTE_THINS,TIMBRE_CHANGES_HIGH,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,REGISTER_CONNECTION,0.9246,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SOVT_GLIDE,SOVT_GLIDE
00ae450b11f1,HIGH_NOTE_UNSTABLE,THROAT_EFFORT,EFFORT,EFFORT,EFFORT,EFFORT,0.898,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,0.9054,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,VOCAL_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,0.898,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,EFFORT,EFFORT,0.9128,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,HIGH_NOTE_UNSTABLE,PITCH_UNSTABLE,EFFORT,EFFORT,EFFORT,EFFORT,0.9189,EXPECTED_SHARED_PROTOCOL,True,True,False,False,True,False,True,True,SAFETY_REST,SAFETY_REST
00ae450b11f1,THROAT_EFFORT,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,EFFORT,EFFORT,0.898,EXPECTED_SHARED_PROTOCOL,True,True,True,False,True,False,True,True,SAFETY_REST,SAFETY_REST
