audio_id,file,duration,effort_status,effort_confidence,contact,breathiness,register_connection,register,source_balance,stability,presence,brightness,airiness,texture,harmonic_concentration,high_note_available,fingerprint,display_name,effort_raw,effort_display,register_connection_raw,register_connection_display,source_balance_raw,source_balance_display,contact_raw,contact_display,breathiness_raw,breathiness_display,stability_raw,stability_display,presence_raw,presence_display,brightness_raw,brightness_display
00ae450b11f1,C:\VocalAgent\목잡이.m4a,,MODERATE,medium,FIRM,LOW,PARTIAL,PARTIAL,BALANCED,STABLE,MID,LOW,LOW,UNKNOWN,UNKNOWN,False,MODERATE|FIRM|LOW|PARTIAL|BALANCED|STABLE|MID|LOW,목잡이.m4a,MODERATE,중간 정도,PARTIAL,일부 구간만 연결,BALANCED,흉성·두성 음향 성향이 균형적인 편,FIRM,단단한 편,LOW,적은 편,STABLE,안정적인 편,MID,중간 편,LOW,어두운 편
07564b6df5b9,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,,LOW,medium,FIRM,LOW,DISRUPTED,DISRUPTED,BALANCED_ACOUSTIC,STABLE,LOW,LOW,LOW,UNKNOWN,0.443,True,LOW|FIRM|LOW|DISRUPTED|BALANCED_ACOUSTIC|STABLE|LOW|LOW,upload.webm · 07564b6d,LOW,낮은 편,DISRUPTED,전환이 급격한 편,BALANCED_ACOUSTIC,흉성·두성 음향 성향이 균형적인 편,FIRM,단단한 편,LOW,적은 편,STABLE,안정적인 편,LOW,낮은 편,LOW,어두운 편
0ada85fffc84,C:\VocalAgent\테스트.m4a,,LOW,medium,AMBIGUOUS,LOW,UNRESOLVED,UNRESOLVED,CHEST_LEANING,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,False,LOW|AMBIGUOUS|LOW|UNRESOLVED|CHEST_LEANING|STABLE|UNAVAILABLE|UNAVAILABLE,테스트.m4a,LOW,낮은 편,UNRESOLVED,연결 판단 부족,CHEST_LEANING,흉성 쪽 음향 성향,AMBIGUOUS,판단 부족,LOW,적은 편,STABLE,안정적인 편,UNAVAILABLE,확인 부족,UNAVAILABLE,확인 부족
0ea5487c229a,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_a\attempt_1\upload.webm,,LOW,medium,AMBIGUOUS,UNKNOWN,PARTIAL,PARTIAL,CHEST_DOMINANT,STABLE,LOW,LOW,LOW,UNKNOWN,0.627,False,LOW|AMBIGUOUS|UNKNOWN|PARTIAL|CHEST_DOMINANT|STABLE|LOW|LOW,upload.webm · 0ea5487c,LOW,낮은 편,PARTIAL,일부 구간만 연결,CHEST_DOMINANT,흉성 쪽 음향 성향이 강한 편,AMBIGUOUS,판단 부족,UNKNOWN,확인 부족,STABLE,안정적인 편,LOW,낮은 편,LOW,어두운 편
0f26db696e8e,C:\VocalAgent\I'llneverloveagain.m4a,,LOW,medium,FIRM,LOW,PARTIAL,PARTIAL,CHEST_LEANING,STABLE,HIGH,HIGH,LOW,UNKNOWN,0.55,False,LOW|FIRM|LOW|PARTIAL|CHEST_LEANING|STABLE|HIGH|HIGH,I'llneverloveagain.m4a,LOW,낮은 편,PARTIAL,일부 구간만 연결,CHEST_LEANING,흉성 쪽 음향 성향,FIRM,단단한 편,LOW,적은 편,STABLE,안정적인 편,HIGH,높은 편,HIGH,밝은 편
10d07cc48c55,C:\VocalAgent\편안세게.m4a,,LOW,medium,FIRM,LOW,PARTIAL,PARTIAL,CHEST_LEANING,STABLE,LOW,LOW,LOW,UNKNOWN,0.603,True,LOW|FIRM|LOW|PARTIAL|CHEST_LEANING|STABLE|LOW|LOW,편안세게.m4a,LOW,낮은 편,PARTIAL,일부 구간만 연결,CHEST_LEANING,흉성 쪽 음향 성향,FIRM,단단한 편,LOW,적은 편,STABLE,안정적인 편,LOW,낮은 편,LOW,어두운 편
1387ae324719,C:\VocalAgent\거의동117.m4a,,MODERATE,medium,AMBIGUOUS,LOW,PARTIAL,PARTIAL,CHEST_LEANING,STABLE,LOW,MID,LOW,UNKNOWN,0.616,True,MODERATE|AMBIGUOUS|LOW|PARTIAL|CHEST_LEANING|STABLE|LOW|MID,거의동117.m4a,MODERATE,중간 정도,PARTIAL,일부 구간만 연결,CHEST_LEANING,흉성 쪽 음향 성향,AMBIGUOUS,판단 부족,LOW,적은 편,STABLE,안정적인 편,LOW,낮은 편,MID,중간 편
15f8e161f598,C:\VocalAgent\Lyrics.mp3,241.98637188208616,LOW,medium,UNKNOWN,LOW,DISRUPTED,DISRUPTED,CONFLICTED,STABLE,MID,LOW,LOW,UNKNOWN,UNKNOWN,True,LOW|UNKNOWN|LOW|DISRUPTED|CONFLICTED|STABLE|MID|LOW,Lyrics.mp3,LOW,낮은 편,DISRUPTED,전환이 급격한 편,CONFLICTED,구간마다 성향이 다른 편,UNKNOWN,확인 부족,LOW,적은 편,STABLE,안정적인 편,MID,중간 편,LOW,어두운 편
16b7e83c0418,C:\VocalAgent\runtime\a26c74cad70447bb900e4a31715c74f3\upload.webm,,LOW,medium,UNKNOWN,LOW,UNRESOLVED,UNRESOLVED,UNKNOWN,STABLE,UNAVAILABLE,UNAVAILABLE,LOW,UNKNOWN,UNKNOWN,False,LOW|UNKNOWN|LOW|UNRESOLVED|UNKNOWN|STABLE|UNAVAILABLE|UNAVAILABLE,upload.webm · 16b7e83c,LOW,낮은 편,UNRESOLVED,연결 판단 부족,UNKNOWN,확인 부족,UNKNOWN,확인 부족,LOW,적은 편,STABLE,안정적인 편,UNAVAILABLE,확인 부족,UNAVAILABLE,확인 부족
1a0be83ce9c6,C:\VocalAgent\runtime\diagnostic_sessions\e532610cd0cc437189bbd33ed4052a1e\tasks\sustain_a\attempt_1\upload.webm,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNKNOWN,UNKNOWN,False,UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNKNOWN|UNAVAILABLE|UNAVAILABLE,upload.webm · 1a0be83c,UNKNOWN,확인 부족,UNKNOWN,확인 부족,UNKNOWN,확인 부족,UNKNOWN,확인 부족,UNKNOWN,확인 부족,UNKNOWN,확인 부족,UNAVAILABLE,확인 부족,UNAVAILABLE,확인 부족
