audio_id,high_note_direct_available,register_connection,effort_status,effort_reliable,stability,presence,selected_focus,selection_reason,fallback_used,protocol_id
00ae450b11f1,False,PARTIAL,MODERATE,False,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
07564b6df5b9,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
0ada85fffc84,False,UNRESOLVED,LOW,True,STABLE,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
0ea5487c229a,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
0f26db696e8e,False,PARTIAL,LOW,True,STABLE,HIGH,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
10d07cc48c55,True,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
1387ae324719,True,PARTIAL,MODERATE,False,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
15f8e161f598,True,DISRUPTED,LOW,True,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
16b7e83c0418,False,UNRESOLVED,LOW,True,STABLE,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
1a0be83ce9c6,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
2c9d61ebb9da,False,PARTIAL,LOW,True,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
357eeb649bd6,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
36a7bd4286b4,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
37db691d1416,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
3ced1f723c5e,False,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
40fb338380cc,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
442202fca595,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
54b972ad300a,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
5662e8094f66,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
5e7819c3abb4,False,DISRUPTED,MODERATE,False,STABLE,UNAVAILABLE,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
5fdfa9eb73e5,False,DISRUPTED,LOW,True,STABLE,HIGH,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
6b3aa0d0ddfb,False,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
6fb8c8208c80,False,DISRUPTED,LOW,True,STABLE,UNAVAILABLE,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
70479ec67665,False,PARTIAL,LOW,True,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
7436d634b9bf,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
7abf49d0b4cd,False,DISRUPTED,UNKNOWN,False,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
7b8c45cdd16b,False,PARTIAL,UNKNOWN,False,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
8156c1254947,True,DISRUPTED,MODERATE,False,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
882c5cd5a0c8,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
8b5617784c9c,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
90147c986aae,False,UNRESOLVED,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
90ac5e34aedd,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
95b54db5ba3d,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
983379d1fe46,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
99023e55f0f5,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
9e6b39daf637,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
a29f829eedd0,False,PARTIAL,UNKNOWN,False,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
a69d81db3e48,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
a77ba822cbfe,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
a7c957603751,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
a888cb14dd6a,False,UNRESOLVED,LOW,True,STABLE,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
aba38287641d,False,UNRESOLVED,UNKNOWN,False,REPEATED_IRREGULAR,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
aef8b974cfb0,False,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
b4b7ce279c98,False,PARTIAL,LOW,True,REPEATED_IRREGULAR,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
b960707ab2f6,True,PARTIAL,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
b9ff5bf02262,False,UNRESOLVED,LOW,True,STABLE,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
bdb75679732a,False,DISRUPTED,LOW,True,REPEATED_IRREGULAR,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
c01fc220195f,False,PARTIAL,UNKNOWN,False,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
c1815547c828,True,PARTIAL,LOW,True,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
c1f4910eafe2,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
c3fca76b89b8,False,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
c5b20be3c802,False,PARTIAL,UNKNOWN,False,INTERMITTENT,HIGH,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
c5cd93ed40a3,True,CONNECTED,LOW,True,STABLE,LOW,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
c8d4b24b6f55,False,DISRUPTED,LOW,True,REPEATED_IRREGULAR,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
ca43bc2b048b,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
cfc6b206e99b,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
d03ad168d8d7,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
d241c8e7a734,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
d395d6bc40d4,False,UNRESOLVED,UNKNOWN,False,STABLE,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
d399575eeebe,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
d46938baf1fc,False,UNKNOWN,UNKNOWN,False,UNKNOWN,UNAVAILABLE,HIGH_NOTE,GENERAL_HIGH_NOTE_ACCESS,True,HIGH_NOTE_ACCESS
d5045bc290a1,False,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
d87efe3c048b,False,PARTIAL,LOW,True,STABLE,MID,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
e1c87ca2521c,True,DISRUPTED,LOW,True,STABLE,LOW,REGISTER_CONNECTION,REGISTER_EVIDENCE,False,REGISTER_CONNECTION
