audio,audio_id,cluster_id,confidence,nearest_neighbor,nearest_similarity
목잡이.m4a,00ae450b11f1,speaker_020,LOW,편안세게.m4a,0.6950214768666784
upload.webm · 07564b6d,07564b6df5b9,speaker_020,LOW,편안세게.m4a,0.6862967309272304
테스트.m4a,0ada85fffc84,speaker_018,LOW,upload.webm · 357eeb64,0.6074977222102353
upload.webm · 0ea5487c,0ea5487c229a,speaker_025,LOW,upload.webm · e8314e2d,0.7128564892488781
I'llneverloveagain.m4a,0f26db696e8e,speaker_009,LOW,요즘 바쁜가봐.m4a,0.843683468406854
편안세게.m4a,10d07cc48c55,speaker_020,LOW,목잡이.m4a,0.6950214768666784
거의동117.m4a,1387ae324719,speaker_009,LOW,love again.m4a,0.8317399455801755
Lyrics.mp3,15f8e161f598,speaker_022,LOW,옥탑방.m4a,0.5734958552924388
upload.webm · 16b7e83c,16b7e83c0418,speaker_005,LOW,upload.webm · a888cb14,0.9909731313045386
upload.webm · 1a0be83c,1a0be83ce9c6,speaker_005,LOW,upload.wav · cfc6b206,0.9999999999978633
upload.webm · 2c9d61eb,2c9d61ebb9da,speaker_025,LOW,upload.webm · d87efe3c,0.8081388400130096
upload.webm · 357eeb64,357eeb649bd6,speaker_006,LOW,upload.webm · 7abf49d0,0.8204995889421806
upload.webm · 36a7bd42,36a7bd4286b4,speaker_024,LOW,upload.webm · aba38287,0.5846815434178824
upload.webm · 37db691d,37db691d1416,speaker_013,LOW,upload.webm · 882c5cd5,0.45814168370364367
거의동116.m4a,3ced1f723c5e,speaker_009,LOW,drowning.m4a,0.8596419842827001
upload.webm · 40fb3383,40fb338380cc,speaker_007,LOW,upload.webm · 983379d1,0.6213859735753694
upload.wav · 442202fc,442202fca595,speaker_005,LOW,upload.wav · 9e6b39da,0.998959450188194
편하게.m4a,54b972ad300a,speaker_006,LOW,호흡많고헤드.m4a,0.7446818723237475
upload.webm · 5662e809,5662e8094f66,speaker_019,LOW,upload.webm · ee4a74e0,0.5786498704398368
bluemoon.m4a,5e7819c3abb4,speaker_009,LOW,요즘 바쁜가봐.m4a,0.79084326791809
drowning.m4a,5fdfa9eb73e5,speaker_009,LOW,거의동116.m4a,0.8596419842827001
upload.webm · 6b3aa0d0,6b3aa0d0ddfb,speaker_023,LOW,upload.webm · ee4a74e0,0.5705705721997207
movie.m4a,6fb8c8208c80,speaker_009,LOW,거의동117.m4a,0.7606670573015982
upload.webm · 70479ec6,70479ec67665,speaker_014,LOW,upload.webm · ee4a74e0,0.4770157901242296
upload.webm · 7436d634,7436d634b9bf,speaker_006,LOW,upload.webm · 357eeb64,0.7737007757265398
upload.webm · 7abf49d0,7abf49d0b4cd,speaker_006,LOW,upload.webm · c3fca76b,0.8717539680939463
upload.wav · 7b8c45cd,7b8c45cdd16b,speaker_005,LOW,upload.webm · c01fc220,0.999968541468702
요즘 바쁜가봐.m4a,8156c1254947,speaker_009,LOW,I'llneverloveagain.m4a,0.843683468406854
upload.webm · 882c5cd5,882c5cd5a0c8,speaker_017,LOW,upload.webm · f19129f7,0.5792386165966517
upload.wav · 8b561778,8b5617784c9c,speaker_005,LOW,upload.wav · 90ac5e34,0.9999979425121578
upload.webm · 90147c98,90147c986aae,speaker_005,LOW,upload.wav · c1f4910e,0.9302062509144381
upload.wav · 90ac5e34,90ac5e34aedd,speaker_005,LOW,upload.wav · 8b561778,0.9999979425121578
upload.webm · 95b54db5,95b54db5ba3d,speaker_011,LOW,upload.webm · 0ea5487c,0.5964028263457617
upload.webm · 983379d1,983379d1fe46,speaker_007,LOW,upload.webm · 40fb3383,0.6213859735753694
호흡많고헤드.m4a,99023e55f0f5,speaker_006,LOW,편하게.m4a,0.7446818723237475
upload.wav · 9e6b39da,9e6b39daf637,speaker_005,LOW,upload.wav · a77ba822,0.9999999999967734
upload.webm · a29f829e,a29f829eedd0,speaker_003,LOW,upload.webm · bdb75679,0.7403319994642127
upload.webm · a69d81db,a69d81db3e48,speaker_012,LOW,upload.webm · a29f829e,0.6301279467348346
upload.wav · a77ba822,a77ba822cbfe,speaker_005,LOW,upload.wav · 9e6b39da,0.9999999999967734
좋은사람.m4a,a7c957603751,speaker_009,LOW,요즘 바쁜가봐.m4a,0.8180322137257898
upload.webm · a888cb14,a888cb14dd6a,speaker_005,LOW,upload.webm · 16b7e83c,0.9909731313045386
upload.webm · aba38287,aba38287641d,speaker_003,LOW,upload.webm · c8d4b24b,0.6896062451324588
love again.m4a,aef8b974cfb0,speaker_009,LOW,거의동117.m4a,0.8317399455801755
upload.webm · b4b7ce27,b4b7ce279c98,speaker_012,LOW,upload.webm · 7436d634,0.634741077953348
upload.webm · b960707a,b960707ab2f6,speaker_001,LOW,upload.webm · d399575e,0.6118787601242014
upload.webm · b9ff5bf0,b9ff5bf02262,speaker_008,MEDIUM,upload.webm · f19129f7,0.7000041145437997
upload.webm · bdb75679,bdb75679732a,speaker_003,LOW,upload.webm · a29f829e,0.7403319994642127
upload.webm · c01fc220,c01fc220195f,speaker_005,LOW,upload.wav · 7b8c45cd,0.999968541468702
upload.webm · c1815547,c1815547c828,speaker_002,MEDIUM,upload.webm · e67deea6,0.5886940679016051
upload.wav · c1f4910e,c1f4910eafe2,speaker_005,LOW,upload.wav · cfc6b206,0.9636086768465191
upload.webm · c3fca76b,c3fca76b89b8,speaker_006,LOW,upload.webm · 7abf49d0,0.8717539680939463
upload.webm · c5b20be3,c5b20be3c802,speaker_016,LOW,upload.webm · b4b7ce27,0.5294714689722603
upload.webm · c5cd93ed,c5cd93ed40a3,speaker_006,LOW,upload.webm · 7abf49d0,0.8227200884799359
upload.webm · c8d4b24b,c8d4b24b6f55,speaker_003,LOW,upload.webm · a29f829e,0.6907765620023018
upload.wav · ca43bc2b,ca43bc2b048b,speaker_005,LOW,upload.wav · c1f4910e,0.6962612435368603
upload.wav · cfc6b206,cfc6b206e99b,speaker_005,LOW,upload.webm · 1a0be83c,0.9999999999978633
upload.webm · d03ad168,d03ad168d8d7,speaker_021,LOW,upload.webm · d399575e,0.5298236088027549
기모그.m4a,d241c8e7a734,speaker_010,LOW,I'llneverloveagain.m4a,0.6929685037056718
