filename,audio_id,old_rank,new_rank,rank_delta,old_status,new_status,newly_discovered
I'llneverloveagain.m4a,0f26db696e8e,7,1,6,HIGH_CANDIDATE,CONSISTENT_HIGH,False
옥탑방.m4a,ec93548d279f,9,2,7,HIGH_CANDIDATE,CONSISTENT_HIGH,False
love again.m4a,aef8b974cfb0,8,3,5,HIGH_CANDIDATE,CONFLICT,False
upload.webm,ee4a74e09cc1,13,4,9,MEDIUM_CANDIDATE,LOW,False
호흡많고헤드.m4a,99023e55f0f5,12,5,7,MEDIUM_CANDIDATE,BORDERLINE,False
upload.webm,983379d1fe46,14,6,8,LOW_CANDIDATE,LOW,False
기모그.m4a,d241c8e7a734,16,7,9,LOW_CANDIDATE,LOW,False
목잡이.m4a,00ae450b11f1,17,8,9,LOW_CANDIDATE,LOW,False
upload.webm,2c9d61ebb9da,11,9,2,MEDIUM_CANDIDATE,LOW,False
upload.webm,f17b7f4ff446,19,10,9,CONFLICT,LOW,False
upload.webm,5662e8094f66,15,11,4,MEDIUM_CANDIDATE,LOW,False
가없너.m4a,fadd83f6eb33,25,12,13,LOW_CANDIDATE,LOW,False
upload.webm,07564b6df5b9,20,13,7,LOW_CANDIDATE,LOW,False
upload.webm,e8314e2d9fd3,10,14,-4,MEDIUM_CANDIDATE,LOW,False
편하게.m4a,54b972ad300a,21,15,6,LOW_CANDIDATE,BORDERLINE,False
Lyrics.mp3,15f8e161f598,22,16,6,LOW_CANDIDATE,LOW,False
upload.webm,6b3aa0d0ddfb,32,17,15,LOW_CANDIDATE,LOW,False
upload.webm,95b54db5ba3d,34,18,16,LOW_CANDIDATE,LOW,False
upload.webm,40fb338380cc,33,19,14,LOW_CANDIDATE,LOW,False
upload.webm,d87efe3c048b,18,20,-2,LOW_CANDIDATE,LOW,False
upload.webm,90147c986aae,27,21,6,LOW_CANDIDATE,LOW,False
upload.webm,ed401e191813,36,22,14,LOW_CANDIDATE,LOW,False
upload.wav,e8b8aa373520,28,23,5,LOW_CANDIDATE,LOW,False
upload.webm,c01fc220195f,29,24,5,LOW_CANDIDATE,LOW,False
upload.wav,7b8c45cdd16b,31,25,6,LOW_CANDIDATE,LOW,False
upload.webm,d399575eeebe,41,26,15,LOW_CANDIDATE,LOW,False
upload.wav,c1f4910eafe2,37,27,10,LOW_CANDIDATE,LOW,False
편안세게.m4a,10d07cc48c55,26,28,-2,LOW_CANDIDATE,LOW,False
upload.webm,d03ad168d8d7,49,29,20,LOW_CANDIDATE,LOW,False
upload.webm,0ea5487c229a,30,30,0,LOW_CANDIDATE,LOW,False
upload.webm,e1c87ca2521c,38,31,7,LOW_CANDIDATE,LOW,False
upload.webm,b960707ab2f6,52,32,20,LOW_CANDIDATE,LOW,False
upload.wav,8b5617784c9c,44,33,11,LOW_CANDIDATE,LOW,False
upload.wav,90ac5e34aedd,45,34,11,LOW_CANDIDATE,LOW,False
upload.wav,cfc6b206e99b,50,35,15,LOW_CANDIDATE,LOW,False
upload.webm,1a0be83ce9c6,51,36,15,LOW_CANDIDATE,LOW,False
upload.webm,70479ec67665,39,37,2,LOW_CANDIDATE,LOW,False
upload.webm,c3fca76b89b8,35,38,-3,LOW_CANDIDATE,LOW,False
upload.webm,d395d6bc40d4,53,39,14,LOW_CANDIDATE,LOW,False
upload.webm,a888cb14dd6a,24,40,-16,LOW_CANDIDATE,LOW,False
upload.wav,442202fca595,40,41,-1,LOW_CANDIDATE,LOW,False
upload.wav,a77ba822cbfe,42,42,0,LOW_CANDIDATE,LOW,False
upload.wav,9e6b39daf637,43,43,0,LOW_CANDIDATE,LOW,False
upload.webm,36a7bd4286b4,54,44,10,LOW_CANDIDATE,LOW,False
upload.webm,16b7e83c0418,23,45,-22,LOW_CANDIDATE,LOW,False
upload.wav,d46938baf1fc,47,46,1,LOW_CANDIDATE,LOW,False
upload.webm,7abf49d0b4cd,46,47,-1,LOW_CANDIDATE,LOW,False
upload.webm,f19129f7b4dc,60,48,12,LOW_CANDIDATE,LOW,False
upload.webm,357eeb649bd6,55,49,6,LOW_CANDIDATE,LOW,False
upload.wav,ca43bc2b048b,61,50,11,LOW_CANDIDATE,LOW,False
upload.webm,c5b20be3c802,63,51,12,LOW_CANDIDATE,LOW,False
upload.webm,aba38287641d,57,52,5,LOW_CANDIDATE,LOW,False
upload.webm,a29f829eedd0,48,53,-5,LOW_CANDIDATE,LOW,False
upload.webm,c5cd93ed40a3,56,54,2,LOW_CANDIDATE,LOW,False
upload.webm,7436d634b9bf,58,55,3,LOW_CANDIDATE,LOW,False
upload.webm,a69d81db3e48,62,56,6,LOW_CANDIDATE,LOW,False
upload.webm,882c5cd5a0c8,65,57,8,LOW_CANDIDATE,LOW,False
테스트.m4a,0ada85fffc84,64,58,6,LOW_CANDIDATE,LOW,False
upload.webm,37db691d1416,68,59,9,LOW_CANDIDATE,LOW,False
upload.webm,bdb75679732a,59,60,-1,LOW_CANDIDATE,LOW,False
upload.webm,b9ff5bf02262,69,61,8,LOW_CANDIDATE,LOW,False
upload.webm,b4b7ce279c98,66,62,4,LOW_CANDIDATE,LOW,False
upload.webm,e67deea6f112,71,63,8,LOW_CANDIDATE,LOW,False
upload.webm,c8d4b24b6f55,67,64,3,LOW_CANDIDATE,LOW,False
upload.webm,c1815547c828,70,65,5,LOW_CANDIDATE,LOW,False
