filename,audio_id,mean_similarity_to_others,median_similarity_to_others,min_similarity_to_others,max_similarity_to_others,centrality_rank
요즘 바쁜가봐.m4a,8156c1254947,0.7773108184337616,0.7888083457946777,0.6873989105224609,0.8436834812164307,1
거의동116.m4a,3ced1f723c5e,0.759499317407608,0.7776038348674774,0.6154556274414062,0.8596420288085938,2
좋은사람.m4a,a7c957603751,0.7573112368583679,0.7697489857673645,0.6561335325241089,0.8180322647094727,3
거의동115.m4a,d5045bc290a1,0.7485343515872955,0.7474302053451538,0.6274293661117554,0.8314273357391357,4
I'llneverloveagain.m4a,0f26db696e8e,0.7390008628368377,0.7525990307331085,0.6296733617782593,0.8436834812164307,5
거의동117.m4a,1387ae324719,0.7238592982292176,0.7251674830913544,0.5875834226608276,0.8317399024963379,6
drowning.m4a,5fdfa9eb73e5,0.7200948774814606,0.7094617187976837,0.616790771484375,0.8596420288085938,7
movie.m4a,6fb8c8208c80,0.7168757319450378,0.7317151129245758,0.6487793922424316,0.760667085647583,8
옥탑방.m4a,ec93548d279f,0.6974489569664002,0.6942376792430878,0.616790771484375,0.827217698097229,9
bluemoon.m4a,5e7819c3abb4,0.6883538424968719,0.7009289860725403,0.49501311779022217,0.7908432483673096,10
love again.m4a,aef8b974cfb0,0.6691285252571106,0.6653367877006531,0.49501311779022217,0.8317399024963379,11
