filename,audio_id,sha256,path,cluster,label_source,previous_model_status
drowning.m4a,5fdfa9eb73e5,5fdfa9eb73e50c70eff34c180c535a4be063fa2e73ad475dbf59f531551431ef,C:\VocalAgent\drowning.m4a,speaker_009,USER_CONFIRMED,
movie.m4a,6fb8c8208c80,6fb8c8208c80cf1d7fec7ac3671e04008636f9d2d416dc885e5fb655de95fd3e,C:\VocalAgent\movie.m4a,speaker_009,USER_CONFIRMED,
거의동115.m4a,d5045bc290a1,d5045bc290a1db899886e391482c0077ddbedfe07f41c5a4bdb396fedc496ddc,C:\VocalAgent\거의동115.m4a,speaker_009,USER_CONFIRMED,HIGH_CANDIDATE
거의동116.m4a,3ced1f723c5e,3ced1f723c5e225b8b0de41941de0a047f0e99a1633f4d6e4e7c966b763cd9ca,C:\VocalAgent\거의동116.m4a,speaker_009,USER_CONFIRMED,HIGH_CANDIDATE
거의동117.m4a,1387ae324719,1387ae32471971bc218ae0757b085555d8d2ba8a936169a0c556883b685c6361,C:\VocalAgent\거의동117.m4a,speaker_009,USER_CONFIRMED,HIGH_CANDIDATE
좋은사람.m4a,a7c957603751,a7c957603751d4fddebdf858da37f0fd6a1e7463c14818aea221b56b0f7af181,C:\VocalAgent\좋은사람.m4a,speaker_009,USER_CONFIRMED,HIGH_CANDIDATE
요즘 바쁜가봐.m4a,8156c1254947,8156c1254947742d6f5b74402934ef8757727cc968fd6abbb78b56783711ae9f,C:\VocalAgent\요즘 바쁜가봐.m4a,speaker_009,USER_CONFIRMED,HIGH_CANDIDATE
bluemoon.m4a,5e7819c3abb4,5e7819c3abb42ae14873c91ee99825d29ceaf6da01bc898aa396259cbc99c253,C:\VocalAgent\bluemoon.m4a,speaker_009,USER_CONFIRMED,HIGH_CANDIDATE
I'llneverloveagain.m4a,0f26db696e8e,0f26db696e8e0cb98243f8064176b11bfaeeea2eaf690ea5b4223f4e85967e4d,C:\VocalAgent\I'llneverloveagain.m4a,speaker_009,USER_CONFIRMED,CONSISTENT_HIGH
love again.m4a,aef8b974cfb0,aef8b974cfb0b193165eb78edb8838c14dc1b74d9b31916284e6e166e7f69b24,C:\VocalAgent\love again.m4a,speaker_009,USER_CONFIRMED,CONFLICT
옥탑방.m4a,ec93548d279f,ec93548d279f509b476fc928b507301e8c6ab030d9084471f5c2d38419234187,C:\VocalAgent\옥탑방.m4a,speaker_009,USER_CONFIRMED,CONSISTENT_HIGH
