heldout_filename,heldout_audio_id,enrollment_count,centroid_similarity,medoid_similarity,k2_similarity,k3_similarity,k2_top2_mean,k3_top2_mean,nearest_enrollment_recording,nearest_similarity,furthest_enrollment_recording,verification_decision,threshold,margin_to_threshold,rank_against_all_non_enrollment_audio,k2_warnings,k3_warnings,is_hard_positive
drowning.m4a,5fdfa9eb73e5,10,0.828339695930481,0.821627140045166,0.8496174812316895,0.8496174812316895,0.7788121402263641,0.7702797651290894,거의동116.m4a,0.8596420288085938,옥탑방.m4a,MATCH,0.72,0.10833969593048098,1,,DEGENERATE_PROTOTYPE p2 size=1,False
movie.m4a,6fb8c8208c80,10,0.8242855668067932,0.7379179000854492,0.7992478609085083,0.7992478609085083,0.7908353507518768,0.7884263694286346,거의동117.m4a,0.760667085647583,drowning.m4a,MATCH,0.72,0.10428556680679324,1,,DEGENERATE_PROTOTYPE p2 size=1,False
거의동115.m4a,d5045bc290a1,10,0.8643128871917725,0.7867734432220459,0.8609932065010071,0.8609932065010071,0.8163128197193146,0.8036033511161804,거의동116.m4a,0.8314273357391357,love again.m4a,MATCH,0.72,0.1443128871917725,1,,DEGENERATE_PROTOTYPE p2 size=1,False
거의동116.m4a,3ced1f723c5e,10,0.8782587647438049,0.8324278593063354,0.9045423865318298,0.9045423865318298,0.8252042531967163,0.8150273561477661,drowning.m4a,0.8596420288085938,love again.m4a,MATCH,0.72,0.15825876474380496,1,,DEGENERATE_PROTOTYPE p2 size=1,False
거의동117.m4a,1387ae324719,10,0.8330850601196289,0.7392204403877258,0.8941031694412231,0.8496755361557007,0.828068733215332,0.8407077193260193,love again.m4a,0.8317399024963379,bluemoon.m4a,MATCH,0.72,0.11308506011962893,1,,DEGENERATE_PROTOTYPE p2 size=1,False
좋은사람.m4a,a7c957603751,10,0.8754724264144897,0.8180322647094727,0.858564555644989,0.858564555644989,0.8287677466869354,0.817866861820221,요즘 바쁜가봐.m4a,0.8180322647094727,옥탑방.m4a,MATCH,0.72,0.15547242641448977,1,,DEGENERATE_PROTOTYPE p2 size=1,False
요즘 바쁜가봐.m4a,8156c1254947,10,0.9010038375854492,0.8324278593063354,0.9055008888244629,0.9055008888244629,0.8496188521385193,0.8381495475769043,I'llneverloveagain.m4a,0.8436834812164307,love again.m4a,MATCH,0.72,0.18100383758544925,1,,DEGENERATE_PROTOTYPE p2 size=1,False
bluemoon.m4a,5e7819c3abb4,10,0.7885223627090454,0.7908432483673096,0.8196439743041992,0.8196439743041992,0.7396661043167114,0.7538450956344604,요즘 바쁜가봐.m4a,0.7908432483673096,love again.m4a,MATCH,0.72,0.06852236270904544,1,,DEGENERATE_PROTOTYPE p2 size=1,True
I'llneverloveagain.m4a,0f26db696e8e,10,0.8522223234176636,0.8436834812164307,0.8695008754730225,0.8695008754730225,0.8019266128540039,0.7950009405612946,요즘 바쁜가봐.m4a,0.8436834812164307,love again.m4a,MATCH,0.72,0.1322223234176636,1,,DEGENERATE_PROTOTYPE p2 size=1,False
love again.m4a,aef8b974cfb0,10,0.7645729780197144,0.6873989105224609,0.8115379214286804,0.8115379214286804,0.7571395635604858,0.7661988735198975,거의동117.m4a,0.8317399024963379,bluemoon.m4a,MATCH,0.72,0.04457297801971438,1,,DEGENERATE_PROTOTYPE p2 size=1,True
옥탑방.m4a,ec93548d279f,10,0.799896240234375,0.7151834964752197,0.824548602104187,0.7987347841262817,0.7838425934314728,0.7724827527999878,거의동117.m4a,0.827217698097229,drowning.m4a,MATCH,0.72,0.07989624023437503,1,,DEGENERATE_PROTOTYPE p2 size=1,True
