filename,audio_id,drowning.m4a,movie.m4a,거의동115.m4a,거의동116.m4a,거의동117.m4a,좋은사람.m4a,요즘 바쁜가봐.m4a,bluemoon.m4a,I'llneverloveagain.m4a,love again.m4a,옥탑방.m4a
drowning.m4a,5fdfa9eb73e5,1.000000,0.648779,0.748647,0.859642,0.659843,0.783422,0.821627,0.692987,0.725937,0.643275,0.616791
movie.m4a,6fb8c8208c80,0.648779,1.000000,0.746213,0.725512,0.760667,0.739205,0.737918,0.688046,0.662228,0.713958,0.746231
거의동115.m4a,d5045bc290a1,0.748647,0.746213,1.000000,0.831427,0.685421,0.796574,0.786773,0.743135,0.779261,0.627429,0.740461
거의동116.m4a,3ced1f723c5e,0.859642,0.725512,0.831427,1.000000,0.678178,0.785612,0.832428,0.769595,0.810245,0.615456,0.686897
거의동117.m4a,1387ae324719,0.659843,0.760667,0.685421,0.678178,1.000000,0.757608,0.739220,0.587583,0.711115,0.831740,0.827218
좋은사람.m4a,a7c957603751,0.783422,0.739205,0.796574,0.785612,0.757608,1.000000,0.818032,0.708871,0.781890,0.745764,0.656134
요즘 바쁜가봐.m4a,8156c1254947,0.821627,0.737918,0.786773,0.832428,0.739220,0.818032,1.000000,0.790843,0.843683,0.687399,0.715183
bluemoon.m4a,5e7819c3abb4,0.692987,0.688046,0.743135,0.769595,0.587583,0.708871,0.790843,1.000000,0.784721,0.495013,0.622742
I'llneverloveagain.m4a,0f26db696e8e,0.725937,0.662228,0.779261,0.810245,0.711115,0.781890,0.843683,0.784721,1.000000,0.629673,0.661255
love again.m4a,aef8b974cfb0,0.643275,0.713958,0.627429,0.615456,0.831740,0.745764,0.687399,0.495013,0.629673,1.000000,0.701578
옥탑방.m4a,ec93548d279f,0.616791,0.746231,0.740461,0.686897,0.827218,0.656134,0.715183,0.622742,0.661255,0.701578,1.000000
