audio_id,filename,nearest_neighbor,nearest_similarity,nn2,nn2_sim
00ae450b11f1,목잡이.m4a,편안세게.m4a,0.6950214768666784,upload.webm · e1c87ca2,0.6675439714577623
07564b6df5b9,upload.webm · 07564b6d,편안세게.m4a,0.6862967309272304,목잡이.m4a,0.6097335784052067
0ada85fffc84,테스트.m4a,upload.webm · 357eeb64,0.6074977222102353,upload.webm · c8d4b24b,0.49789041838217885
0ea5487c229a,upload.webm · 0ea5487c,upload.webm · e8314e2d,0.7128564892488781,upload.webm · 2c9d61eb,0.6613409862257075
0f26db696e8e,I'llneverloveagain.m4a,요즘 바쁜가봐.m4a,0.843683468406854,거의동116.m4a,0.8102450146711315
10d07cc48c55,편안세게.m4a,목잡이.m4a,0.6950214768666784,upload.webm · 07564b6d,0.6862967309272304
1387ae324719,거의동117.m4a,love again.m4a,0.8317399455801755,옥탑방.m4a,0.827217627965371
15f8e161f598,Lyrics.mp3,옥탑방.m4a,0.5734958552924388,거의동117.m4a,0.5075681854079418
16b7e83c0418,upload.webm · 16b7e83c,upload.webm · a888cb14,0.9909731313045386,upload.wav · c1f4910e,0.8025913358530816
1a0be83ce9c6,upload.webm · 1a0be83c,upload.wav · cfc6b206,0.9999999999978633,upload.wav · c1f4910e,0.9636086677524204
2c9d61ebb9da,upload.webm · 2c9d61eb,upload.webm · d87efe3c,0.8081388400130096,upload.webm · e8314e2d,0.7598315341730157
357eeb649bd6,upload.webm · 357eeb64,upload.webm · 7abf49d0,0.8204995889421806,upload.webm · c3fca76b,0.7745111277172323
36a7bd4286b4,upload.webm · 36a7bd42,upload.webm · aba38287,0.5846815434178824,upload.webm · a69d81db,0.5582517229429227
37db691d1416,upload.webm · 37db691d,upload.webm · 882c5cd5,0.45814168370364367,upload.webm · d399575e,0.428498736561382
3ced1f723c5e,거의동116.m4a,drowning.m4a,0.8596419842827001,요즘 바쁜가봐.m4a,0.8324278485043329
40fb338380cc,upload.webm · 40fb3383,upload.webm · 983379d1,0.6213859735753694,upload.webm · f19129f7,0.5714647650113314
442202fca595,upload.wav · 442202fc,upload.wav · 9e6b39da,0.998959450188194,upload.wav · a77ba822,0.9989594457262012
54b972ad300a,편하게.m4a,호흡많고헤드.m4a,0.7446818723237475,upload.webm · 7abf49d0,0.6961661181701665
5662e8094f66,upload.webm · 5662e809,upload.webm · ee4a74e0,0.5786498704398368,upload.webm · 0ea5487c,0.5566569467454004
5e7819c3abb4,bluemoon.m4a,요즘 바쁜가봐.m4a,0.79084326791809,I'llneverloveagain.m4a,0.7847213088291927
5fdfa9eb73e5,drowning.m4a,거의동116.m4a,0.8596419842827001,요즘 바쁜가봐.m4a,0.8216271127909196
6b3aa0d0ddfb,upload.webm · 6b3aa0d0,upload.webm · ee4a74e0,0.5705705721997207,호흡많고헤드.m4a,0.5004630056505023
6fb8c8208c80,movie.m4a,거의동117.m4a,0.7606670573015982,옥탑방.m4a,0.7462306860870719
70479ec67665,upload.webm · 70479ec6,upload.webm · ee4a74e0,0.4770157901242296,upload.webm · b960707a,0.43921744105635047
7436d634b9bf,upload.webm · 7436d634,upload.webm · 357eeb64,0.7737007757265398,upload.webm · c3fca76b,0.7732353179849586
7abf49d0b4cd,upload.webm · 7abf49d0,upload.webm · c3fca76b,0.8717539680939463,upload.webm · c5cd93ed,0.8227200884799359
