rank,filename,audio_id,sha256,path,current_cluster,status,robust_score,sim_drowning,sim_movie,sim_prototype,min_seed_similarity,mean_seed_similarity,seed_similarity_gap,segment_median_drowning,segment_median_movie,segment_support,quality,review_required,notes
1,거의동116.m4a,3ced1f723c5e,3ced1f723c5e225b8b0de41941de0a047f0e99a1633f4d6e4e7c966b763cd9ca,C:\VocalAgent\거의동116.m4a,speaker_009,HIGH_CANDIDATE,0.775114,0.859642,0.725512,0.872922,0.725512,0.792577,0.134130,0.626217,0.456827,0.708333,GOOD,True,consistent with both seeds
2,요즘 바쁜가봐.m4a,8156c1254947,8156c1254947742d6f5b74402934ef8757727cc968fd6abbb78b56783711ae9f,C:\VocalAgent\요즘 바쁜가봐.m4a,speaker_009,HIGH_CANDIDATE,0.774655,0.821627,0.737918,0.858819,0.737918,0.779773,0.083709,0.610088,0.578693,0.875000,GOOD,True,consistent with both seeds
3,좋은사람.m4a,a7c957603751,a7c957603751d4fddebdf858da37f0fd6a1e7463c14818aea221b56b0f7af181,C:\VocalAgent\좋은사람.m4a,speaker_009,HIGH_CANDIDATE,0.765694,0.783422,0.739205,0.838488,0.739205,0.761313,0.044217,0.543566,0.504254,0.583333,GOOD,True,consistent with both seeds
4,거의동115.m4a,d5045bc290a1,d5045bc290a1db899886e391482c0077ddbedfe07f41c5a4bdb396fedc496ddc,C:\VocalAgent\거의동115.m4a,speaker_009,HIGH_CANDIDATE,0.761975,0.748647,0.746213,0.823198,0.746213,0.747430,0.002433,0.512724,0.520845,0.541667,GOOD,True,consistent with both seeds
5,bluemoon.m4a,5e7819c3abb4,5e7819c3abb42ae14873c91ee99825d29ceaf6da01bc898aa396259cbc99c253,C:\VocalAgent\bluemoon.m4a,speaker_009,HIGH_CANDIDATE,0.703281,0.692987,0.688046,0.760515,0.688046,0.690516,0.004941,0.552991,0.480826,0.708333,GOOD,True,consistent with both seeds
6,거의동117.m4a,1387ae324719,1387ae32471971bc218ae0757b085555d8d2ba8a936169a0c556883b685c6361,C:\VocalAgent\거의동117.m4a,speaker_009,HIGH_CANDIDATE,0.699449,0.659843,0.760667,0.782254,0.659843,0.710255,0.100824,0.606074,0.784598,1.000000,GOOD,True,consistent with both seeds
7,I'llneverloveagain.m4a,0f26db696e8e,0f26db696e8e0cb98243f8064176b11bfaeeea2eaf690ea5b4223f4e85967e4d,C:\VocalAgent\I'llneverloveagain.m4a,speaker_009,HIGH_CANDIDATE,0.692227,0.725937,0.662228,0.764442,0.662228,0.694082,0.063709,0.528918,0.495142,0.541667,GOOD,True,consistent with both seeds
8,love again.m4a,aef8b974cfb0,aef8b974cfb0b193165eb78edb8838c14dc1b74d9b31916284e6e166e7f69b24,C:\VocalAgent\love again.m4a,speaker_009,HIGH_CANDIDATE,0.674704,0.643275,0.713958,0.747408,0.643275,0.678616,0.070683,0.558910,0.664511,0.625000,GOOD,True,consistent with both seeds
9,옥탑방.m4a,ec93548d279f,ec93548d279f509b476fc928b507301e8c6ab030d9084471f5c2d38419234187,C:\VocalAgent\옥탑방.m4a,speaker_009,HIGH_CANDIDATE,0.662968,0.616791,0.746231,0.750596,0.616791,0.681511,0.129440,0.568515,0.681550,0.708333,GOOD,True,consistent with both seeds
10,upload.webm · e8314e2d,e8314e2d9fd3,e8314e2d9fd3aea07b95ae46ce1b342e1388cb465f048fa47d7954e0f3399e73,C:\VocalAgent\runtime\diagnostic_sessions\ba62f95fa43f43688d0dcd34aa0b336c\tasks\sustain_a\attempt_1\upload.webm,speaker_025,MEDIUM_CANDIDATE,0.513181,0.499079,0.514395,0.558105,0.499079,0.506737,0.015316,0.564424,0.597065,0.666667,FAIR,True,moderate both-seed similarity
