audio_id,00ae450b11f1,07564b6df5b9,0ada85fffc84,0ea5487c229a,0f26db696e8e,10d07cc48c55,1387ae324719,15f8e161f598,16b7e83c0418,1a0be83ce9c6,2c9d61ebb9da,357eeb649bd6,36a7bd4286b4,37db691d1416,3ced1f723c5e,40fb338380cc,442202fca595,54b972ad300a,5662e8094f66,5e7819c3abb4,5fdfa9eb73e5,6b3aa0d0ddfb,6fb8c8208c80,70479ec67665,7436d634b9bf,7abf49d0b4cd,7b8c45cdd16b,8156c1254947,882c5cd5a0c8,8b5617784c9c,90147c986aae,90ac5e34aedd,95b54db5ba3d,983379d1fe46,99023e55f0f5,9e6b39daf637,a29f829eedd0,a69d81db3e48,a77ba822cbfe,a7c957603751,a888cb14dd6a,aba38287641d,aef8b974cfb0,b4b7ce279c98,b960707ab2f6,b9ff5bf02262,bdb75679732a,c01fc220195f,c1815547c828,c1f4910eafe2,c3fca76b89b8,c5b20be3c802,c5cd93ed40a3,c8d4b24b6f55,ca43bc2b048b,cfc6b206e99b,d03ad168d8d7,d241c8e7a734,d395d6bc40d4,d399575eeebe,d46938baf1fc,d5045bc290a1,d87efe3c048b,e1c87ca2521c,e67deea6f112,e8314e2d9fd3,e8b8aa373520,ec93548d279f,ed401e191813,ee4a74e09cc1,f17b7f4ff446,f19129f7b4dc,fadd83f6eb33
00ae450b11f1,1.000000,0.609734,0.317835,0.373744,0.550060,0.695021,0.481399,0.312867,0.173313,0.089779,0.301667,0.465679,0.379248,0.109644,0.600243,0.346369,0.156620,0.628040,0.464169,0.503410,0.557833,0.335740,0.421586,0.340829,0.443605,0.466488,0.248425,0.532023,0.313742,0.257981,0.172392,0.257940,0.392362,0.473410,0.573891,0.154897,0.460891,0.418325,0.154897,0.426445,0.177018,0.439150,0.396491,0.409868,0.397935,0.229845,0.305166,0.247708,0.247310,0.141583,0.523682,0.366401,0.365027,0.367802,0.069373,0.089780,0.501103,0.379494,0.333624,0.411000,0.159725,0.459630,0.361772,0.667544,0.291212,0.433487,0.246381,0.524583,0.371474,0.444624,0.465444,0.313924,0.436958
07564b6df5b9,0.609734,1.000000,0.292964,0.193905,0.467746,0.686297,0.370110,0.304958,0.095461,-0.080274,0.204765,0.416222,0.521761,0.105231,0.476190,0.302194,-0.040899,0.605775,0.414487,0.506403,0.479086,0.334972,0.429362,0.277565,0.372864,0.449505,0.114109,0.469348,0.236969,0.100985,0.008022,0.100924,0.264487,0.365433,0.497203,-0.042397,0.562278,0.474683,-0.042397,0.405468,0.098091,0.464717,0.253222,0.301753,0.428642,0.132909,0.472883,0.114154,0.282248,-0.021369,0.437589,0.286339,0.399217,0.396874,-0.063023,-0.080274,0.457117,0.387384,0.279207,0.412164,-0.035191,0.431702,0.235218,0.541580,0.201734,0.272352,0.114018,0.495080,0.394458,0.349308,0.385863,0.218077,0.464748
0ada85fffc84,0.317835,0.292964,1.000000,0.149261,0.288255,0.326563,0.089118,0.124433,0.111957,0.016974,0.101814,0.607498,0.330519,0.095691,0.301452,0.228135,0.007114,0.348591,0.141409,0.253004,0.320553,0.168974,0.107589,0.147860,0.365598,0.458996,0.016786,0.223921,0.261628,-0.018468,-0.020004,-0.018395,0.218741,0.320997,0.341502,0.005879,0.491884,0.251640,0.005879,0.226627,0.107593,0.468747,0.065400,0.209134,0.212730,0.116848,0.340128,0.017775,0.066418,0.016079,0.400759,0.130410,0.391240,0.497890,-0.027735,0.016974,0.268280,0.315035,0.297379,0.293922,0.010508,0.254119,0.105397,0.423751,0.045399,0.035496,0.018912,0.207315,0.174587,0.252355,0.276408,0.294991,0.257812
0ea5487c229a,0.373744,0.193905,0.149261,1.000000,0.509669,0.211237,0.521016,0.353299,0.385458,0.313894,0.661341,0.157935,0.259463,0.279486,0.421551,0.533229,0.381912,0.288121,0.556657,0.276184,0.414936,0.391652,0.360177,0.353612,0.227994,0.236099,0.483352,0.401468,0.294060,0.461363,0.422459,0.461223,0.596403,0.605367,0.416452,0.383202,0.133598,0.132991,0.383203,0.530542,0.373581,0.100725,0.528151,0.162741,0.402388,0.241737,0.131400,0.483531,0.035838,0.363935,0.274265,0.145793,0.175996,0.016827,0.287893,0.313894,0.384882,0.341882,0.284880,0.375499,0.380765,0.392417,0.643348,0.234122,0.163543,0.712856,0.483694,0.343721,0.441080,0.522524,0.492271,0.413772,0.230378
0f26db696e8e,0.550060,0.467746,0.288255,0.509669,1.000000,0.405372,0.711115,0.506667,0.352107,0.337691,0.555712,0.432632,0.281240,0.142744,0.810245,0.513904,0.337551,0.597071,0.445749,0.784721,0.725937,0.464302,0.662228,0.374553,0.376943,0.493883,0.418441,0.843683,0.230931,0.370919,0.402534,0.370801,0.435070,0.577519,0.639869,0.334056,0.337699,0.156306,0.334056,0.781890,0.352200,0.253883,0.629673,0.185518,0.364032,0.187876,0.239608,0.419515,0.038677,0.368734,0.481427,0.197262,0.384245,0.178458,0.228364,0.337691,0.407504,0.692969,0.381104,0.435110,0.307574,0.779261,0.499174,0.424382,0.078557,0.538978,0.420573,0.661255,0.450645,0.565088,0.656909,0.324456,0.558368
10d07cc48c55,0.695021,0.686297,0.326563,0.211237,0.405372,1.000000,0.293815,0.230176,0.057690,-0.004266,0.131603,0.460906,0.439430,0.180148,0.526029,0.252524,0.031176,0.675059,0.479430,0.491038,0.495841,0.320752,0.345104,0.270983,0.429138,0.489874,0.102569,0.392614,0.366066,0.109496,0.003484,0.109584,0.249714,0.332760,0.544470,0.026752,0.657062,0.499931,0.026752,0.357676,0.064235,0.467201,0.204385,0.423269,0.434027,0.244692,0.599084,0.102092,0.332379,0.007289,0.512975,0.332199,0.495768,0.534565,0.002305,-0.004266,0.431530,0.343126,0.440422,0.433804,0.022542,0.449325,0.195672,0.653119,0.251939,0.209460,0.101353,0.407887,0.379187,0.441100,0.438616,0.319637,0.392706
1387ae324719,0.481399,0.370110,0.089118,0.521016,0.711115,0.293815,1.000000,0.507568,0.499776,0.462678,0.707173,0.164454,0.247161,0.113145,0.678178,0.406221,0.513853,0.362977,0.497167,0.587583,0.659843,0.419576,0.760667,0.390758,0.124329,0.193009,0.563625,0.739220,0.106620,0.527797,0.623862,0.527586,0.381563,0.504360,0.470064,0.513433,0.138118,0.110997,0.513433,0.757608,0.496031,0.141391,0.831740,0.024252,0.266498,0.085240,0.077714,0.564186,0.002116,0.522968,0.253677,0.142050,0.137473,0.018836,0.314389,0.462678,0.297894,0.515774,0.250475,0.351186,0.497409,0.685421,0.634821,0.273099,0.051962,0.673483,0.564558,0.827218,0.441734,0.565061,0.390218,0.193929,0.397117
15f8e161f598,0.312867,0.304958,0.124433,0.353299,0.506667,0.230176,0.507568,1.000000,0.226157,0.243796,0.352312,0.281656,0.230864,0.130622,0.404839,0.364602,0.230582,0.371172,0.268725,0.364170,0.360864,0.245833,0.485351,0.307927,0.324447,0.293980,0.296161,0.450129,0.196363,0.287743,0.239742,0.287943,0.342612,0.339924,0.316560,0.225973,0.085399,0.165331,0.225973,0.419328,0.223967,0.230543,0.459993,0.219276,0.236257,0.159338,0.067151,0.295997,0.067844,0.248600,0.304153,0.237775,0.295534,0.071122,0.104337,0.243796,0.289755,0.428671,0.181898,0.318688,0.194662,0.463403,0.343060,0.313897,0.277390,0.367929,0.295301,0.573496,0.345256,0.306677,0.284389,0.206364,0.505023
16b7e83c0418,0.173313,0.095461,0.111957,0.385458,0.352107,0.057690,0.499776,0.226157,1.000000,0.764554,0.651443,0.046889,0.118903,0.235614,0.366039,0.275928,0.793810,0.080884,0.344093,0.233902,0.394470,0.269101,0.391000,0.148827,-0.018052,0.031151,0.629889,0.333917,0.179933,0.563163,0.792647,0.562837,0.262889,0.312521,0.249603,0.793765,0.043179,-0.037679,0.793765,0.446301,0.990973,-0.014193,0.509607,-0.034282,0.180925,0.130945,-0.082834,0.631489,0.021913,0.802591,0.093222,0.015957,0.025109,-0.047863,0.510567,0.764554,0.128266,0.252628,0.205659,0.262365,0.790411,0.299188,0.505651,0.139906,-0.034524,0.486124,0.633241,0.310586,0.231002,0.359478,0.187522,0.267349,0.174542
1a0be83ce9c6,0.089779,-0.080274,0.016974,0.313894,0.337691,-0.004266,0.462678,0.243796,0.764554,1.000000,0.648745,0.042278,-0.039165,0.169713,0.332437,0.145670,0.917844,0.070745,0.238583,0.262067,0.310684,0.163513,0.365991,0.066098,-0.018092,0.021453,0.661517,0.307987,0.094695,0.580439,0.867235,0.579910,0.195861,0.211169,0.173032,0.906962,-0.044167,-0.156522,0.906962,0.374482,0.764043,-0.112005,0.414974,-0.054512,0.018326,0.052169,-0.121755,0.663758,-0.073539,0.963609,0.060144,-0.003294,0.050568,-0.126569,0.655770,1.000000,0.003544,0.150580,0.097657,0.083486,0.841879,0.292774,0.486465,0.085997,-0.070913,0.443353,0.666014,0.275045,0.038272,0.234771,0.045034,0.134743,0.031627
