audio_id,sha256,filename,path,quality,segment_count,used_segment_count
00ae450b11f1,00ae450b11f15f53af9e4ea58c4e52d4bdde098e292c5e6530675c775de0fac1,목잡이.m4a,C:\VocalAgent\목잡이.m4a,GOOD,12,9
07564b6df5b9,07564b6df5b9862814817adcb31be945298cd3e956eb859d0ae0f7f336b0506f,upload.webm · 07564b6d,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,GOOD,12,10
0ada85fffc84,0ada85fffc84819f704dff0073483d5bf536f635059c7caafa8129c9759a6307,테스트.m4a,C:\VocalAgent\테스트.m4a,FAIR,4,3
0ea5487c229a,0ea5487c229a9e74970718c68e391de0bbf0126138ab78f21ef76e4e1e407bea,upload.webm · 0ea5487c,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_a\attempt_1\upload.webm,FAIR,4,3
0f26db696e8e,0f26db696e8e0cb98243f8064176b11bfaeeea2eaf690ea5b4223f4e85967e4d,I'llneverloveagain.m4a,C:\VocalAgent\I'llneverloveagain.m4a,GOOD,12,12
10d07cc48c55,10d07cc48c5598fbd2497f0391de54c659e0fafdd7133ad7c9678f3c11b93e6f,편안세게.m4a,C:\VocalAgent\편안세게.m4a,GOOD,12,10
1387ae324719,1387ae32471971bc218ae0757b085555d8d2ba8a936169a0c556883b685c6361,거의동117.m4a,C:\VocalAgent\거의동117.m4a,GOOD,12,11
15f8e161f598,15f8e161f5987f8ea83bccbe92a8ac25ac3260cfdb67bbd40483ae76e527e6a9,Lyrics.mp3,C:\VocalAgent\Lyrics.mp3,GOOD,12,10
16b7e83c0418,16b7e83c0418de7c937ef132a6a328a2cc832d298d1a8a9085d7d9ab1aa7dfd4,upload.webm · 16b7e83c,C:\VocalAgent\runtime\a26c74cad70447bb900e4a31715c74f3\upload.webm,GOOD,10,9
1a0be83ce9c6,1a0be83ce9c6c4dbbd0bf38bc106c4aa47fd88c9f599f67fb1c1dbd9c3764ceb,upload.webm · 1a0be83c,C:\VocalAgent\runtime\diagnostic_sessions\e532610cd0cc437189bbd33ed4052a1e\tasks\sustain_a\attempt_1\upload.webm,POOR,1,1
2c9d61ebb9da,2c9d61ebb9da411d4a3b8592d3fc0f7696b4c40a07a88bded722bfab4c114f11,upload.webm · 2c9d61eb,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_i\attempt_1\upload.webm,FAIR,4,3
357eeb649bd6,357eeb649bd61551db054e8f4a19daa7315d6cdb402b4d668cd38bf01f3b099a,upload.webm · 357eeb64,C:\VocalAgent\runtime\56d38088aeba4c2a87b4cd8f43b8a1fa\upload.webm,GOOD,12,11
36a7bd4286b4,36a7bd4286b4ba32a9d24ce246656607bde600e99da10babd2652b5a5dc9d2f1,upload.webm · 36a7bd42,C:\VocalAgent\runtime\6bc317cde50945bb9b282824e3354301\upload.webm,GOOD,9,9
37db691d1416,37db691d14161b200b6ac892ca88b3a3eb0288d9c9df88fbfb29b9aad730d9c1,upload.webm · 37db691d,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\sustain_i\attempt_1\upload.webm,FAIR,3,2
3ced1f723c5e,3ced1f723c5e225b8b0de41941de0a047f0e99a1633f4d6e4e7c966b763cd9ca,거의동116.m4a,C:\VocalAgent\거의동116.m4a,GOOD,12,12
40fb338380cc,40fb338380ccc7353ba5bf76ba5e135e3b8a2b6d0b4ac20b5976be85a6f948d6,upload.webm · 40fb3383,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\dynamic_swell\attempt_1\upload.webm,FAIR,3,3
442202fca595,442202fca595a8762e99074200044f82fe8c17fc8e411b35d5ffb0d60b2b3b6b,upload.wav · 442202fc,C:\VocalAgent\runtime\0e3cb9e466744bf69101def07914fcb7\upload.wav,POOR,1,1
54b972ad300a,54b972ad300a3466f05c653a20f66b2e247f2ca243cde61dc3e925c627bec230,편하게.m4a,C:\VocalAgent\편하게.m4a,GOOD,12,10
5662e8094f66,5662e8094f66d3fd27846cd64b216dd557acef7d5817025c677957bea94780f0,upload.webm · 5662e809,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\high_note_sustain_a\attempt_1\upload.webm,GOOD,4,4
5e7819c3abb4,5e7819c3abb42ae14873c91ee99825d29ceaf6da01bc898aa396259cbc99c253,bluemoon.m4a,C:\VocalAgent\bluemoon.m4a,GOOD,12,12
5fdfa9eb73e5,5fdfa9eb73e50c70eff34c180c535a4be063fa2e73ad475dbf59f531551431ef,drowning.m4a,C:\VocalAgent\drowning.m4a,GOOD,12,9
6b3aa0d0ddfb,6b3aa0d0ddfb5566666c3d263cd565600414ee03187045dfa90b2079bdd141af,upload.webm · 6b3aa0d0,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\siren\attempt_1\upload.webm,FAIR,3,2
